"","module_category","component_category","year.month.repair.","TotalCount","RepairCount"
"1684","M3","P09","2009/11",12,16
"1685","M3","P09","2009/12",5,7
"1686","M3","P09","2009/2",101,136
"1687","M3","P09","2009/3",76,104
"1688","M3","P09","2009/4",53,75
"1689","M3","P09","2009/5",43,56
"1690","M3","P09","2009/6",38,54
"1691","M3","P09","2009/7",33,50
"1692","M3","P09","2009/8",22,32
"1693","M3","P09","2009/9",17,26
"1694","M3","P10","2007/11",1,1
"1695","M3","P11","2006/11",1,1
"1696","M3","P11","2006/12",6,6
"1697","M3","P11","2007/1",4,4
"1698","M3","P11","2007/10",11,11
"1699","M3","P11","2007/11",9,9
"1700","M3","P11","2007/12",8,8
"1701","M3","P11","2007/2",5,5
"1702","M3","P11","2007/3",11,11
"1703","M3","P11","2007/4",16,16
"1704","M3","P11","2007/5",14,14
"1705","M3","P11","2007/6",7,7
"1706","M3","P11","2007/7",17,17
"1707","M3","P11","2007/8",6,6
"1708","M3","P11","2007/9",10,10
"1709","M3","P11","2008/1",10,10
"1710","M3","P11","2008/10",3,3
"1711","M3","P11","2008/11",9,9
"1712","M3","P11","2008/12",4,4
"1713","M3","P11","2008/2",11,12
"1714","M3","P11","2008/3",13,13
"1715","M3","P11","2008/4",8,8
"1716","M3","P11","2008/5",10,10
"1717","M3","P11","2008/6",9,9
"1718","M3","P11","2008/7",8,8
"1719","M3","P11","2008/8",6,6
"1720","M3","P11","2008/9",4,4
"1721","M3","P11","2009/1",11,11
"1722","M3","P11","2009/2",6,6
"1723","M3","P11","2009/3",2,2
"1724","M3","P11","2009/4",4,4
"1725","M3","P11","2009/5",1,1
"1726","M3","P11","2009/6",2,2
"1727","M3","P11","2009/7",3,3
"1728","M3","P11","2009/8",3,3
"1729","M3","P11","2009/9",2,2
"1730","M3","P12","2006/11",8,10
"1731","M3","P12","2006/12",16,19
"1732","M3","P12","2007/1",91,114
"1733","M3","P12","2007/10",603,1079
"1734","M3","P12","2007/11",409,728
"1735","M3","P12","2007/12",617,1137
"1736","M3","P12","2007/2",122,164
"1737","M3","P12","2007/3",171,240
"1738","M3","P12","2007/4",241,360
"1739","M3","P12","2007/5",246,388
"1740","M3","P12","2007/6",296,508
"1741","M3","P12","2007/7",439,753
"1742","M3","P12","2007/8",417,754
"1743","M3","P12","2007/9",454,783
"1744","M3","P12","2008/1",546,1010
"1745","M3","P12","2008/10",492,946
"1746","M3","P12","2008/11",547,1057
"1747","M3","P12","2008/12",336,620
"1748","M3","P12","2008/2",582,1077
"1749","M3","P12","2008/3",704,1304
"1750","M3","P12","2008/4",501,942
"1751","M3","P12","2008/5",411,776
"1752","M3","P12","2008/6",448,854
"1753","M3","P12","2008/7",500,944
"1754","M3","P12","2008/8",563,1070
"1755","M3","P12","2008/9",486,926
"1756","M3","P12","2009/1",277,511
"1757","M3","P12","2009/10",20,37
"1758","M3","P12","2009/11",18,33
"1759","M3","P12","2009/12",13,24
"1760","M3","P12","2009/2",212,384
"1761","M3","P12","2009/3",146,282
"1762","M3","P12","2009/4",74,144
"1763","M3","P12","2009/5",66,124
"1764","M3","P12","2009/6",66,131
"1765","M3","P12","2009/7",51,91
"1766","M3","P12","2009/8",45,82
"1767","M3","P12","2009/9",27,47
"1768","M3","P13","2006/12",6,6
"1769","M3","P13","2007/1",16,16
"1770","M3","P13","2007/10",28,28
"1771","M3","P13","2007/11",23,23
"1772","M3","P13","2007/12",16,16
"1773","M3","P13","2007/2",36,38
"1774","M3","P13","2007/3",29,30
"1775","M3","P13","2007/4",53,54
"1776","M3","P13","2007/5",30,30
"1777","M3","P13","2007/6",22,22
"1778","M3","P13","2007/7",21,22
"1779","M3","P13","2007/8",22,22
"1780","M3","P13","2007/9",28,28
"1781","M3","P13","2008/1",21,22
"1782","M3","P13","2008/10",13,13
"1783","M3","P13","2008/11",24,24
"1784","M3","P13","2008/12",10,11
"1785","M3","P13","2008/2",23,23
"1786","M3","P13","2008/3",29,29
"1787","M3","P13","2008/4",19,19
"1788","M3","P13","2008/5",17,17
"1789","M3","P13","2008/6",16,16
"1790","M3","P13","2008/7",19,19
"1791","M3","P13","2008/8",21,21
"1792","M3","P13","2008/9",19,20
"1793","M3","P13","2009/1",14,14
"1794","M3","P13","2009/10",5,5
"1795","M3","P13","2009/2",10,11
"1796","M3","P13","2009/3",5,5
"1797","M3","P13","2009/4",7,7
"1798","M3","P13","2009/5",4,4
"1799","M3","P13","2009/6",6,6
"1800","M3","P13","2009/7",1,1
"1801","M3","P13","2009/8",5,5
"1802","M3","P15","2006/10",1,1
"1803","M3","P15","2006/11",7,7
"1804","M3","P15","2006/12",13,13
"1805","M3","P15","2007/1",32,32
"1806","M3","P15","2007/10",86,86
"1807","M3","P15","2007/11",84,84
"1808","M3","P15","2007/12",81,81
"1809","M3","P15","2007/2",25,25
"1810","M3","P15","2007/3",48,48
"1811","M3","P15","2007/4",45,45
"1812","M3","P15","2007/5",45,45
"1813","M3","P15","2007/6",57,57
"1814","M3","P15","2007/7",59,60
"1815","M3","P15","2007/8",79,80
"1816","M3","P15","2007/9",83,83
"1817","M3","P15","2008/1",92,92
"1818","M3","P15","2008/10",72,73
"1819","M3","P15","2008/11",76,76
"1820","M3","P15","2008/12",77,78
"1821","M3","P15","2008/2",93,93
"1822","M3","P15","2008/3",99,99
"1823","M3","P15","2008/4",90,90
"1824","M3","P15","2008/5",70,71
"1825","M3","P15","2008/6",95,97
"1826","M3","P15","2008/7",82,82
"1827","M3","P15","2008/8",81,81
"1828","M3","P15","2008/9",75,76
"1829","M3","P15","2009/1",60,61
"1830","M3","P15","2009/10",1,1
"1831","M3","P15","2009/11",2,2
"1832","M3","P15","2009/2",42,43
"1833","M3","P15","2009/3",22,22
"1834","M3","P15","2009/4",11,11
"1835","M3","P15","2009/5",18,18
"1836","M3","P15","2009/6",15,15
"1837","M3","P15","2009/7",9,9
"1838","M3","P15","2009/8",7,7
"1839","M3","P15","2009/9",4,4
"1840","M3","P16","2006/10",3,3
"1841","M3","P16","2006/11",11,11
"1842","M3","P16","2006/12",20,20
"1843","M3","P16","2007/1",46,47
"1844","M3","P16","2007/10",85,85
"1845","M3","P16","2007/11",87,87
"1846","M3","P16","2007/12",106,106
"1847","M3","P16","2007/2",55,56
"1848","M3","P16","2007/3",57,57
"1849","M3","P16","2007/4",71,71
"1850","M3","P16","2007/5",63,63
"1851","M3","P16","2007/6",70,70
"1852","M3","P16","2007/7",89,89
"1853","M3","P16","2007/8",80,81
"1854","M3","P16","2007/9",96,99
"1855","M3","P16","2008/1",81,81
"1856","M3","P16","2008/10",65,66
"1857","M3","P16","2008/11",81,81
"1858","M3","P16","2008/12",63,63
"1859","M3","P16","2008/2",94,94
"1860","M3","P16","2008/3",102,102
"1861","M3","P16","2008/4",61,61
"1862","M3","P16","2008/5",68,68
"1863","M3","P16","2008/6",63,63
"1864","M3","P16","2008/7",68,68
"1865","M3","P16","2008/8",60,61
"1866","M3","P16","2008/9",75,75
"1867","M3","P16","2009/1",47,47
"1868","M3","P16","2009/10",3,3
"1869","M3","P16","2009/11",6,6
"1870","M3","P16","2009/12",4,4
"1871","M3","P16","2009/2",45,45
"1872","M3","P16","2009/3",29,29
"1873","M3","P16","2009/4",13,13
"1874","M3","P16","2009/5",19,20
"1875","M3","P16","2009/6",14,14
"1876","M3","P16","2009/7",9,9
"1877","M3","P16","2009/8",6,6
"1878","M3","P16","2009/9",8,8
"1879","M3","P17","2006/11",1,1
"1880","M3","P17","2006/12",5,5
"1881","M3","P17","2007/1",12,12
"1882","M3","P17","2007/10",26,27
"1883","M3","P17","2007/11",21,21
"1884","M3","P17","2007/12",9,9
"1885","M3","P17","2007/2",18,19
"1886","M3","P17","2007/3",19,19
"1887","M3","P17","2007/4",25,25
"1888","M3","P17","2007/5",17,17
"1889","M3","P17","2007/6",16,17
"1890","M3","P17","2007/7",18,18
"1891","M3","P17","2007/8",18,18
"1892","M3","P17","2007/9",17,19
"1893","M3","P17","2008/1",28,28
"1894","M3","P17","2008/10",36,36
"1895","M3","P17","2008/11",24,24
"1896","M3","P17","2008/12",19,20
"1897","M3","P17","2008/2",16,16
"1898","M3","P17","2008/3",43,43
"1899","M3","P17","2008/4",25,25
"1900","M3","P17","2008/5",22,22
"1901","M3","P17","2008/6",43,47
"1902","M3","P17","2008/7",31,33
"1903","M3","P17","2008/8",32,32
"1904","M3","P17","2008/9",30,30
"1905","M3","P17","2009/1",14,15
"1906","M3","P17","2009/11",1,1
"1907","M3","P17","2009/2",3,5
"1908","M3","P17","2009/3",5,5
"1909","M3","P17","2009/4",5,5
"1910","M3","P17","2009/5",7,8
"1911","M3","P17","2009/6",6,6
"1912","M3","P17","2009/7",5,5
"1913","M3","P17","2009/8",1,1
"1914","M3","P17","2009/9",5,6
"1915","M3","P18","2008/2",1,1
"1916","M3","P19","2007/10",7,7
"1917","M3","P19","2007/11",15,15
"1918","M3","P19","2007/12",9,9
"1919","M3","P19","2007/2",5,5
"1920","M3","P19","2007/3",4,4
"1921","M3","P19","2007/4",2,2
"1922","M3","P19","2007/5",9,9
"1923","M3","P19","2007/6",3,3
"1924","M3","P19","2007/7",7,7
"1925","M3","P19","2007/8",6,6
"1926","M3","P19","2007/9",11,11
"1927","M3","P19","2008/1",6,6
"1928","M3","P19","2008/10",6,6
"1929","M3","P19","2008/11",5,5
"1930","M3","P19","2008/12",5,5
"1931","M3","P19","2008/2",3,3
"1932","M3","P19","2008/3",9,9
"1933","M3","P19","2008/4",8,8
"1934","M3","P19","2008/5",7,7
"1935","M3","P19","2008/6",10,10
"1936","M3","P19","2008/7",5,5
"1937","M3","P19","2008/8",8,8
"1938","M3","P19","2008/9",2,2
"1939","M3","P19","2009/1",5,5
"1940","M3","P19","2009/11",1,1
"1941","M3","P19","2009/2",5,5
"1942","M3","P19","2009/3",4,4
"1943","M3","P19","2009/4",2,2
"1944","M3","P19","2009/5",1,1
"1945","M3","P19","2009/6",2,2
"1946","M3","P19","2009/7",3,3
"1947","M3","P19","2009/8",1,1
"1948","M3","P19","2009/9",2,2
"1949","M3","P20","2006/10",3,3
"1950","M3","P20","2006/11",16,16
"1951","M3","P20","2006/12",32,33
"1952","M3","P20","2007/1",77,78
"1953","M3","P20","2007/10",204,205
"1954","M3","P20","2007/11",205,205
"1955","M3","P20","2007/12",206,206
"1956","M3","P20","2007/2",128,130
"1957","M3","P20","2007/3",129,130
"1958","M3","P20","2007/4",110,111
"1959","M3","P20","2007/5",108,108
"1960","M3","P20","2007/6",169,172
"1961","M3","P20","2007/7",140,140
"1962","M3","P20","2007/8",165,167
"1963","M3","P20","2007/9",203,207
"1964","M3","P20","2008/1",240,243
"1965","M3","P20","2008/10",166,168
"1966","M3","P20","2008/11",197,200
"1967","M3","P20","2008/12",145,145
"1968","M3","P20","2008/2",193,196
"1969","M3","P20","2008/3",220,221
"1970","M3","P20","2008/4",178,181
"1971","M3","P20","2008/5",157,159
"1972","M3","P20","2008/6",188,193
"1973","M3","P20","2008/7",160,162
"1974","M3","P20","2008/8",155,157
"1975","M3","P20","2008/9",179,179
"1976","M3","P20","2009/1",127,127
"1977","M3","P20","2009/10",15,15
"1978","M3","P20","2009/11",8,8
"1979","M3","P20","2009/12",6,6
"1980","M3","P20","2009/2",119,119
"1981","M3","P20","2009/3",95,96
"1982","M3","P20","2009/4",75,76
"1983","M3","P20","2009/5",69,70
"1984","M3","P20","2009/6",65,65
"1985","M3","P20","2009/7",32,32
"1986","M3","P20","2009/8",26,26
"1987","M3","P20","2009/9",21,21
"1988","M3","P21","2006/11",24,24
"1989","M3","P21","2006/12",51,53
"1990","M3","P21","2007/1",165,165
"1991","M3","P21","2007/10",210,212
"1992","M3","P21","2007/11",129,130
"1993","M3","P21","2007/12",190,191
"1994","M3","P21","2007/2",202,205
"1995","M3","P21","2007/3",220,225
"1996","M3","P21","2007/4",242,242
"1997","M3","P21","2007/5",203,205
"1998","M3","P21","2007/6",212,212
"1999","M3","P21","2007/7",217,218
"2000","M3","P21","2007/8",185,188
"2001","M3","P21","2007/9",186,187
"2002","M3","P21","2008/1",125,125
"2003","M3","P21","2008/10",28,28
"2004","M3","P21","2008/11",25,25
"2005","M3","P21","2008/12",21,21
"2006","M3","P21","2008/2",93,93
"2007","M3","P21","2008/3",79,79
"2008","M3","P21","2008/4",53,54
"2009","M3","P21","2008/5",42,42
"2010","M3","P21","2008/6",32,32
"2011","M3","P21","2008/7",29,29
"2012","M3","P21","2008/8",34,34
"2013","M3","P21","2008/9",36,36
"2014","M3","P21","2009/1",18,18
"2015","M3","P21","2009/10",6,6
"2016","M3","P21","2009/11",2,2
"2017","M3","P21","2009/2",17,17
"2018","M3","P21","2009/3",15,15
"2019","M3","P21","2009/4",12,12
"2020","M3","P21","2009/5",7,7
"2021","M3","P21","2009/6",5,5
"2022","M3","P21","2009/7",6,6
"2023","M3","P21","2009/8",7,7
"2024","M3","P21","2009/9",3,3
"2025","M3","P22","2006/12",1,1
"2026","M3","P22","2007/1",4,4
"2027","M3","P22","2007/10",22,24
"2028","M3","P22","2007/11",21,22
"2029","M3","P22","2007/12",11,11
"2030","M3","P22","2007/2",4,4
"2031","M3","P22","2007/3",9,9
"2032","M3","P22","2007/4",7,7
"2033","M3","P22","2007/5",10,10
"2034","M3","P22","2007/6",17,18
"2035","M3","P22","2007/7",14,14
"2036","M3","P22","2007/8",14,15
"2037","M3","P22","2007/9",18,19
"2038","M3","P22","2008/1",16,16
"2039","M3","P22","2008/10",27,27
"2040","M3","P22","2008/11",32,32
"2041","M3","P22","2008/12",24,25
"2042","M3","P22","2008/2",17,17
"2043","M3","P22","2008/3",31,31
"2044","M3","P22","2008/4",30,30
"2045","M3","P22","2008/5",23,23
"2046","M3","P22","2008/6",29,29
"2047","M3","P22","2008/7",25,25
"2048","M3","P22","2008/8",20,20
"2049","M3","P22","2008/9",22,22
"2050","M3","P22","2009/1",34,35
"2051","M3","P22","2009/10",2,2
"2052","M3","P22","2009/11",1,1
"2053","M3","P22","2009/2",20,20
"2054","M3","P22","2009/3",11,11
"2055","M3","P22","2009/4",10,10
"2056","M3","P22","2009/5",14,14
"2057","M3","P22","2009/6",6,6
"2058","M3","P22","2009/7",9,9
"2059","M3","P22","2009/8",5,5
"2060","M3","P22","2009/9",3,3
"2061","M3","P23","2008/2",1,1
"2062","M3","P24","2006/11",8,8
"2063","M3","P24","2006/12",22,22
"2064","M3","P24","2007/1",32,33
"2065","M3","P24","2007/10",68,68
"2066","M3","P24","2007/11",70,70
"2067","M3","P24","2007/12",57,58
"2068","M3","P24","2007/2",35,37
"2069","M3","P24","2007/3",44,45
"2070","M3","P24","2007/4",48,48
"2071","M3","P24","2007/5",42,42
"2072","M3","P24","2007/6",46,46
"2073","M3","P24","2007/7",48,48
"2074","M3","P24","2007/8",57,58
"2075","M3","P24","2007/9",62,62
"2076","M3","P24","2008/1",90,90
"2077","M3","P24","2008/10",100,100
"2078","M3","P24","2008/11",160,163
"2079","M3","P24","2008/12",111,112
"2080","M3","P24","2008/2",86,86
"2081","M3","P24","2008/3",112,112
"2082","M3","P24","2008/4",79,81
"2083","M3","P24","2008/5",78,78
"2084","M3","P24","2008/6",100,100
"2085","M3","P24","2008/7",109,109
"2086","M3","P24","2008/8",103,103
"2087","M3","P24","2008/9",113,113
"2088","M3","P24","2009/1",95,95
"2089","M3","P24","2009/10",7,7
"2090","M3","P24","2009/11",4,4
"2091","M3","P24","2009/12",1,1
"2092","M3","P24","2009/2",72,73
"2093","M3","P24","2009/3",52,52
"2094","M3","P24","2009/4",41,42
"2095","M3","P24","2009/5",32,32
"2096","M3","P24","2009/6",28,29
"2097","M3","P24","2009/7",19,20
"2098","M3","P24","2009/8",18,18
"2099","M3","P24","2009/9",10,11
"2100","M3","P25","2006/12",5,5
"2101","M3","P25","2007/1",2,2
"2102","M3","P25","2007/10",8,8
"2103","M3","P25","2007/11",8,8
"2104","M3","P25","2007/12",6,6
"2105","M3","P25","2007/2",6,6
"2106","M3","P25","2007/3",3,3
"2107","M3","P25","2007/4",6,6
"2108","M3","P25","2007/5",4,4
"2109","M3","P25","2007/6",3,3
"2110","M3","P25","2007/7",6,6
"2111","M3","P25","2007/8",12,12
"2112","M3","P25","2007/9",9,9
"2113","M3","P25","2008/1",7,7
"2114","M3","P25","2008/10",1,1
"2115","M3","P25","2008/11",10,10
"2116","M3","P25","2008/12",5,5
"2117","M3","P25","2008/2",10,10
"2118","M3","P25","2008/3",6,7
"2119","M3","P25","2008/4",2,2
"2120","M3","P25","2008/5",3,3
"2121","M3","P25","2008/6",8,8
"2122","M3","P25","2008/7",7,7
"2123","M3","P25","2008/8",4,4
"2124","M3","P25","2008/9",4,4
"2125","M3","P25","2009/1",2,2
"2126","M3","P25","2009/2",3,3
"2127","M3","P25","2009/3",1,1
"2128","M3","P25","2009/4",3,3
"2129","M3","P25","2009/5",6,6
"2130","M3","P25","2009/6",1,1
"2131","M3","P25","2009/9",1,1
"2132","M3","P26","2006/11",4,4
"2133","M3","P26","2006/12",8,9
"2134","M3","P26","2007/1",32,33
"2135","M3","P26","2007/10",210,211
"2136","M3","P26","2007/11",128,131
"2137","M3","P26","2007/12",224,224
"2138","M3","P26","2007/2",45,54
"2139","M3","P26","2007/3",68,70
"2140","M3","P26","2007/4",107,118
"2141","M3","P26","2007/5",67,70
"2142","M3","P26","2007/6",90,90
"2143","M3","P26","2007/7",104,108
"2144","M3","P26","2007/8",132,135
"2145","M3","P26","2007/9",123,126
"2146","M3","P26","2008/1",157,158
"2147","M3","P26","2008/10",163,163
"2148","M3","P26","2008/11",203,204
"2149","M3","P26","2008/12",86,88
"2150","M3","P26","2008/2",182,184
"2151","M3","P26","2008/3",269,270
"2152","M3","P26","2008/4",200,200
"2153","M3","P26","2008/5",144,145
"2154","M3","P26","2008/6",156,159
"2155","M3","P26","2008/7",143,144
"2156","M3","P26","2008/8",180,187
"2157","M3","P26","2008/9",152,153
"2158","M3","P26","2009/1",69,69
"2159","M3","P26","2009/10",3,3
"2160","M3","P26","2009/11",4,4
"2161","M3","P26","2009/12",1,1
"2162","M3","P26","2009/2",37,37
"2163","M3","P26","2009/3",23,23
"2164","M3","P26","2009/4",22,23
"2165","M3","P26","2009/5",10,10
"2166","M3","P26","2009/6",11,11
"2167","M3","P26","2009/7",5,5
"2168","M3","P26","2009/8",9,9
"2169","M3","P26","2009/9",7,7
"2170","M3","P27","2007/9",1,1
"2171","M3","P28","2006/10",2,3
"2172","M3","P28","2006/11",8,8
"2173","M3","P28","2006/12",14,15
"2174","M3","P28","2007/1",37,37
"2175","M3","P28","2007/10",75,76
"2176","M3","P28","2007/11",73,73
"2177","M3","P28","2007/12",60,61
"2178","M3","P28","2007/2",42,43
"2179","M3","P28","2007/3",50,50
"2180","M3","P28","2007/4",59,60
"2181","M3","P28","2007/5",40,41
"2182","M3","P28","2007/6",48,49
"2183","M3","P28","2007/7",74,74
"2184","M3","P28","2007/8",51,52
"2185","M3","P28","2007/9",60,60
"2186","M3","P28","2008/1",57,57
"2187","M3","P28","2008/10",76,78
"2188","M3","P28","2008/11",77,81
"2189","M3","P28","2008/12",59,59
"2190","M3","P28","2008/2",81,82
"2191","M3","P28","2008/3",111,117
"2192","M3","P28","2008/4",67,68
"2193","M3","P28","2008/5",77,77
"2194","M3","P28","2008/6",83,85
"2195","M3","P28","2008/7",84,84
"2196","M3","P28","2008/8",89,92
"2197","M3","P28","2008/9",71,73
"2198","M3","P28","2009/1",41,41
"2199","M3","P28","2009/10",4,4
"2200","M3","P28","2009/11",3,3
"2201","M3","P28","2009/12",2,2
"2202","M3","P28","2009/2",40,40
"2203","M3","P28","2009/3",21,22
"2204","M3","P28","2009/4",16,16
"2205","M3","P28","2009/5",12,12
"2206","M3","P28","2009/6",8,8
"2207","M3","P28","2009/7",7,7
"2208","M3","P28","2009/8",6,6
"2209","M3","P28","2009/9",4,4
"2210","M3","P30","2006/11",4,4
"2211","M3","P30","2006/12",13,17
"2212","M3","P30","2007/1",37,43
"2213","M3","P30","2007/10",44,56
"2214","M3","P30","2007/11",38,48
"2215","M3","P30","2007/12",42,48
"2216","M3","P30","2007/2",43,51
"2217","M3","P30","2007/3",48,60
"2218","M3","P30","2007/4",47,56
"2219","M3","P30","2007/5",47,54
"2220","M3","P30","2007/6",44,58
"2221","M3","P30","2007/7",57,67
"2222","M3","P30","2007/8",42,50
"2223","M3","P30","2007/9",43,46
"2224","M3","P30","2008/1",36,45
"2225","M3","P30","2008/10",25,30
"2226","M3","P30","2008/11",23,28
"2227","M3","P30","2008/12",19,21
"2228","M3","P30","2008/2",43,57
"2229","M3","P30","2008/3",30,35
"2230","M3","P30","2008/4",27,32
"2231","M3","P30","2008/5",29,34
"2232","M3","P30","2008/6",39,49
"2233","M3","P30","2008/7",35,43
"2234","M3","P30","2008/8",27,32
"2235","M3","P30","2008/9",24,27
"2236","M3","P30","2009/1",16,17
"2237","M3","P30","2009/10",3,5
"2238","M3","P30","2009/12",1,2
"2239","M3","P30","2009/2",5,6
"2240","M3","P30","2009/3",11,13
"2241","M3","P30","2009/4",4,4
"2242","M3","P30","2009/5",8,9
"2243","M3","P30","2009/6",5,7
"2244","M3","P30","2009/7",4,5
"2245","M3","P30","2009/8",4,4
"2246","M3","P30","2009/9",1,1
"2247","M3","P31","2006/12",2,2
"2248","M3","P31","2007/1",7,7
"2249","M3","P31","2007/10",8,8
"2250","M3","P31","2007/11",6,6
"2251","M3","P31","2007/12",7,7
"2252","M3","P31","2007/2",10,11
"2253","M3","P31","2007/3",12,12
"2254","M3","P31","2007/4",12,12
"2255","M3","P31","2007/5",5,5
"2256","M3","P31","2007/6",8,8
"2257","M3","P31","2007/7",9,9
"2258","M3","P31","2007/8",7,7
"2259","M3","P31","2007/9",10,10
"2260","M3","P31","2008/1",11,11
"2261","M3","P31","2008/10",2,2
"2262","M3","P31","2008/11",6,6
"2263","M3","P31","2008/12",8,8
"2264","M3","P31","2008/2",8,8
"2265","M3","P31","2008/3",7,7
"2266","M3","P31","2008/4",8,8
"2267","M3","P31","2008/5",5,5
"2268","M3","P31","2008/6",4,4
"2269","M3","P31","2008/7",3,3
"2270","M3","P31","2008/9",5,5
"2271","M3","P31","2009/1",4,4
"2272","M3","P31","2009/2",1,1
"2273","M3","P31","2009/3",5,5
"2274","M3","P31","2009/4",1,1
"2275","M3","P31","2009/5",3,3
"2276","M3","P31","2009/6",4,4
"2277","M3","P31","2009/9",1,1
"2278","M4","P01","2005/4",1,1
"2279","M4","P01","2006/10",1,1
"2280","M4","P01","2006/2",7,7
"2281","M4","P01","2006/3",4,4
"2282","M4","P01","2006/7",1,1
"2283","M4","P01","2007/2",1,1
"2284","M4","P01","2007/3",1,1
"2285","M4","P01","2009/7",1,1
"2286","M4","P01","2009/8",1,2
"2287","M4","P02","2005/10",15,15
"2288","M4","P02","2005/11",36,36
"2289","M4","P02","2005/12",18,19
"2290","M4","P02","2005/4",6,6
"2291","M4","P02","2005/5",8,8
"2292","M4","P02","2005/6",15,15
"2293","M4","P02","2005/7",26,26
"2294","M4","P02","2005/8",24,26
"2295","M4","P02","2005/9",18,19
"2296","M4","P02","2006/1",29,29
"2297","M4","P02","2006/10",36,37
"2298","M4","P02","2006/11",37,38
"2299","M4","P02","2006/12",39,40
"2300","M4","P02","2006/2",34,34
"2301","M4","P02","2006/3",43,45
"2302","M4","P02","2006/4",43,44
"2303","M4","P02","2006/5",29,29
"2304","M4","P02","2006/6",29,30
"2305","M4","P02","2006/7",23,23
"2306","M4","P02","2006/8",27,27
"2307","M4","P02","2006/9",41,44
"2308","M4","P02","2007/1",27,28
"2309","M4","P02","2007/10",26,27
"2310","M4","P02","2007/11",14,14
"2311","M4","P02","2007/12",22,22
"2312","M4","P02","2007/2",32,32
"2313","M4","P02","2007/3",38,38
"2314","M4","P02","2007/4",43,43
"2315","M4","P02","2007/5",25,25
"2316","M4","P02","2007/6",34,34
"2317","M4","P02","2007/7",32,32
"2318","M4","P02","2007/8",22,22
"2319","M4","P02","2007/9",35,35
"2320","M4","P02","2008/1",12,12
"2321","M4","P02","2008/10",1,1
"2322","M4","P02","2008/2",11,11
"2323","M4","P02","2008/3",13,13
"2324","M4","P02","2008/4",7,7
"2325","M4","P02","2008/5",4,4
"2326","M4","P02","2008/6",4,4
"2327","M4","P02","2008/7",2,2
"2328","M4","P02","2008/8",5,5
"2329","M4","P02","2009/3",2,2
"2330","M4","P02","2009/4",1,1
"2331","M4","P04","2005/10",34,41
"2332","M4","P04","2005/11",43,48
"2333","M4","P04","2005/12",41,44
"2334","M4","P04","2005/4",5,6
"2335","M4","P04","2005/5",13,13
"2336","M4","P04","2005/6",19,21
"2337","M4","P04","2005/7",27,29
"2338","M4","P04","2005/8",22,26
"2339","M4","P04","2005/9",31,37
"2340","M4","P04","2006/1",33,35
"2341","M4","P04","2006/10",44,47
"2342","M4","P04","2006/11",48,48
"2343","M4","P04","2006/12",41,43
"2344","M4","P04","2006/2",42,48
"2345","M4","P04","2006/3",66,69
"2346","M4","P04","2006/4",82,87
"2347","M4","P04","2006/5",64,70
"2348","M4","P04","2006/6",25,27
"2349","M4","P04","2006/7",32,34
"2350","M4","P04","2006/8",29,29
"2351","M4","P04","2006/9",29,31
"2352","M4","P04","2007/1",35,37
"2353","M4","P04","2007/10",58,58
"2354","M4","P04","2007/11",32,32
"2355","M4","P04","2007/12",20,21
"2356","M4","P04","2007/2",48,49
"2357","M4","P04","2007/3",66,66
"2358","M4","P04","2007/4",61,62
"2359","M4","P04","2007/5",46,46
"2360","M4","P04","2007/6",57,59
"2361","M4","P04","2007/7",67,68
"2362","M4","P04","2007/8",78,78
"2363","M4","P04","2007/9",69,69
"2364","M4","P04","2008/1",15,15
"2365","M4","P04","2008/10",2,2
"2366","M4","P04","2008/11",2,2
"2367","M4","P04","2008/12",8,8
"2368","M4","P04","2008/2",18,18
"2369","M4","P04","2008/3",21,22
"2370","M4","P04","2008/4",11,11
"2371","M4","P04","2008/5",9,10
"2372","M4","P04","2008/6",11,12
"2373","M4","P04","2008/7",7,7
"2374","M4","P04","2008/8",7,7
"2375","M4","P04","2008/9",4,4
"2376","M4","P04","2009/1",4,4
"2377","M4","P04","2009/11",1,1
"2378","M4","P04","2009/12",1,1
"2379","M4","P04","2009/2",1,1
"2380","M4","P04","2009/3",4,4
"2381","M4","P04","2009/4",6,6
"2382","M4","P04","2009/5",1,1
"2383","M4","P04","2009/6",2,2
"2384","M4","P04","2009/7",3,3
"2385","M4","P04","2009/8",2,2
"2386","M4","P04","2009/9",1,1
"2387","M4","P05","2005/10",18,18
"2388","M4","P05","2005/11",15,15
"2389","M4","P05","2005/12",8,9
"2390","M4","P05","2005/3",1,1
"2391","M4","P05","2005/4",1,1
"2392","M4","P05","2005/5",3,3
"2393","M4","P05","2005/6",6,6
"2394","M4","P05","2005/7",2,2
"2395","M4","P05","2005/8",14,16
"2396","M4","P05","2005/9",12,13
"2397","M4","P05","2006/1",22,22
"2398","M4","P05","2006/10",23,25
"2399","M4","P05","2006/11",20,20
"2400","M4","P05","2006/12",14,15
"2401","M4","P05","2006/2",27,27
"2402","M4","P05","2006/3",26,26
"2403","M4","P05","2006/4",39,40
"2404","M4","P05","2006/5",17,20
"2405","M4","P05","2006/6",17,18
"2406","M4","P05","2006/7",18,19
"2407","M4","P05","2006/8",15,15
"2408","M4","P05","2006/9",22,22
"2409","M4","P05","2007/1",14,15
"2410","M4","P05","2007/10",5,5
"2411","M4","P05","2007/11",14,14
"2412","M4","P05","2007/12",6,6
"2413","M4","P05","2007/2",16,16
"2414","M4","P05","2007/3",24,25
"2415","M4","P05","2007/4",14,14
"2416","M4","P05","2007/5",10,10
"2417","M4","P05","2007/6",18,18
